Week,Team A,Team B
1,16,17
1,9,23
1,33,105
1,34,35
1,41,67
1,65,113
1,50,90
1,25,37
1,27,62
1,45,89
1,56,57
1,19,101
1,63,109
1,2,13
1,3,74
1,6,60
1,14,54
1,15,114
1,47,61
1,52,72
1,100,102
1,39,106
1,5,107
1,11,28
1,26,42
1,81,82
1,24,84
1,22,108
1,10,98
1,7,21
1,31,32
1,80,85
1,8,77
1,78,111
1,51,68
1,18,71
1,20,36
1,38,43
1,88,110
1,44,86
1,70,76
1,66,75
1,46,49
1,0,104
1,1,103
1,30,55
1,58,59
1,69,83
1,53,73
1,87,95
1,91,92
1,96,112
2,16,23
2,33,45
2,35,92
2,8,41
2,65,70
2,69,90
2,72,104
2,25,106
2,36,37
2,48,57
2,88,89
2,30,101
2,105,109
2,2,64
2,3,40
2,6,7
2,14,43
2,15,60
2,22,47
2,74,84
2,5,52
2,11,50
2,12,26
2,10,81
2,28,38
2,68,108
2,63,97
2,98,107
2,32,39
2,29,82
2,51,111
2,24,110
2,17,95
2,18,61
2,34,71
2,54,99
2,49,67
2,20,96
2,62,76
2,19,44
2,31,79
2,75,112
2,46,53
2,66,91
2,80,86
2,59,113
2,0,93
2,1,27
2,4,9
2,55,94
2,73,114
2,77,78
2,56,87
3,16,93
3,4,23
3,33,89
3,9,41
3,65,96
3,67,104
3,25,53
3,17,27
3,45,105
3,79,101
3,103,109
3,2,72
3,3,102
3,6,32
3,13,64
3,15,47
3,60,106
3,5,74
3,39,100
3,10,11
3,40,51
3,84,107
3,28,113
3,78,108
3,97,98
3,7,82
3,85,99
3,21,22
3,50,68
3,12,36
3,34,61
3,42,43
3,31,54
3,20,62
3,30,94
3,44,91
3,56,70
3,75,76
3,46,88
3,48,49
3,0,35
3,1,37
3,52,112
3,29,55
3,58,114
3,69,95
3,73,83
3,86,87
3,66,92
4,16,104
4,33,109
4,35,94
4,65,87
4,82,93
4,27,76
4,37,89
4,13,45
4,57,86
4,102,103
4,2,14
4,3,58
4,6,100
4,15,39
4,47,60
4,64,106
4,10,72
4,52,74
4,5,81
4,7,40
4,84,98
4,24,28
4,75,107
4,32,49
4,43,85
4,8,68
4,20,21
4,22,51
4,77,111
4,50,78
4,12,18
4,17,96
4,34,54
4,38,71
4,67,110
4,61,99
4,62,70
4,19,79
4,29,80
4,30,44
4,46,83
4,59,66
4,53,114
4,63,112
4,0,23
4,1,105
4,4,41
4,9,108
4,69,91
4,73,88
4,48,92
4,95,113
5,23,78
5,33,103
5,35,101
5,40,41
5,20,65
5,5,90
5,104,114
5,25,105
5,27,70
5,37,80
5,89,109
5,2,3
5,6,47
5,13,106
5,12,14
5,15,100
5,10,60
5,64,111
5,72,81
5,74,102
5,11,24
5,26,38
5,77,108
5,86,97
5,7,68
5,21,32
5,8,51
5,30,82
5,18,34
5,19,36
5,46,110
5,31,99
5,67,83
5,62,87
5,29,42
5,61,92
5,44,66
5,79,94
5,48,75
5,53,88
5,59,63
5,91,112
5,0,16
5,1,57
5,4,69
5,9,93
5,54,55
5,17,58
5,49,73
5,76,96
6,16,41
6,23,104
6,33,37
6,35,55
6,56,65
6,11,90
6,25,45
6,26,27
6,57,112
6,51,101
6,70,103
6,80,105
6,2,60
6,3,81
6,6,106
6,12,13
6,15,92
6,47,100
6,72,74
6,5,97
6,40,52
6,49,84
6,102,107
6,108,111
6,77,98
6,7,73
6,39,82
6,38,85
6,8,22
6,21,46
6,24,69
6,17,87
6,18,31
6,34,42
6,36,43
6,53,110
6,54,61
6,71,99
6,67,88
6,20,113
6,62,95
6,19,30
6,29,79
6,44,75
6,66,76
6,48,86
6,83,114
6,0,4
6,1,89
6,9,64
6,58,63
6,68,78
7,16,38
7,23,93
7,29,35
7,24,90
7,25,103
7,27,63
7,37,45
7,57,92
7,55,89
7,58,101
7,30,109
7,2,106
7,3,11
7,6,39
7,13,100
7,14,71
7,15,32
7,47,64
7,72,102
7,5,10
7,26,61
7,40,81
7,52,84
7,28,69
7,7,108
7,97,112
7,48,98
7,88,107
7,31,85
7,8,78
7,21,51
7,22,77
7,82,94
7,68,111
7,12,34
7,17,62
7,18,19
7,36,59
7,43,70
7,49,110
7,67,114
7,20,75
7,79,80
7,76,113
7,53,83
7,86,91
7,0,9
7,1,33
7,4,104
7,46,73
7,56,95
8,23,41
8,25,33
8,63,65
8,11,104
8,27,56
8,37,109
8,45,62
8,89,99
8,103,105
8,2,47
8,3,26
8,6,55
8,13,39
8,14,85
8,15,106
8,59,60
8,32,64
8,72,107
8,40,74
8,82,100
8,5,84
8,81,83
8,10,102
8,28,50
8,21,108
8,52,98
8,7,77
8,8,111
8,22,78
8,24,66
8,12,17
8,18,38
8,34,94
8,31,43
8,61,71
8,20,76
8,19,29
8,30,79
8,44,112
8,46,114
8,49,53
8,80,91
8,0,90
8,1,101
8,4,93
8,67,68
8,69,88
8,73,110
8,87,113
8,86,92
8,48,96
9,9,16
9,19,35
9,41,104
9,17,65
9,91,93
9,25,109
9,27,96
9,37,95
9,44,57
9,89,105
9,29,101
9,2,15
9,3,52
9,6,85
9,13,60
9,14,99
9,39,47
9,63,64
9,74,82
9,32,100
9,11,69
9,26,34
9,40,98
9,81,107
9,10,84
9,28,78
9,51,108
9,59,97
9,7,8
9,21,77
9,22,68
9,46,111
9,24,50
9,18,42
9,38,54
9,43,61
9,83,110
9,31,71
9,20,87
9,56,62
9,70,113
9,75,86
9,66,112
9,48,53
9,49,114
9,0,33
9,1,45
9,4,5
9,55,79
9,58,88
9,67,73
9,80,94
10,4,16
10,22,23
10,35,79
10,65,66
10,28,90
10,80,93
10,87,104
10,24,25
10,27,95
10,37,105
10,45,103
10,57,91
10,94,101
10,2,6
10,3,5
10,13,110
10,14,26
10,15,68
10,60,64
10,71,72
10,73,74
10,99,100
10,32,106
10,11,97
10,40,107
10,81,98
10,83,84
10,52,102
10,7,78
10,38,39
10,21,111
10,51,77
10,50,69
10,12,43
10,18,54
10,31,34
10,46,67
10,20,70
10,42,63
10,29,30
10,44,48
10,56,76
10,53,86
10,49,88
10,0,41
10,1,109
10,8,9
10,19,55
10,36,58
10,75,92
10,96,113
11,16,81
11,23,111
11,19,33
11,30,35
11,41,93
11,27,65
11,8,90
11,25,89
11,37,103
11,44,45
11,42,57
11,55,101
11,62,105
11,79,109
11,2,74
11,3,84
11,6,58
11,13,15
11,14,38
11,32,47
11,60,71
11,64,100
11,40,72
11,56,106
11,5,11
11,26,43
11,98,102
11,10,107
11,7,22
11,39,54
11,12,85
11,21,68
11,80,82
11,50,51
11,17,20
11,18,99
11,110,114
11,53,67
11,31,61
11,29,94
11,66,86
11,48,91
11,83,88
11,0,1
11,4,28
11,9,104
11,69,70
11,73,77
11,87,96
11,92,112
11,76,95
12,16,67
12,23,90
12,35,44
12,93,104
12,45,109
12,57,75
12,89,103
12,2,100
12,3,72
12,6,64
12,13,32
12,14,15
12,46,47
12,39,60
12,10,74
12,92,106
12,5,98
12,26,85
12,40,102
12,81,84
12,58,97
12,7,111
12,8,21
12,77,82
12,51,78
12,24,87
12,30,50
12,12,38
12,17,113
12,18,36
12,34,99
12,43,79
12,80,110
12,54,71
12,61,62
12,19,94
12,29,91
12,70,95
12,59,76
12,48,66
12,49,83
12,88,114
12,0,65
12,1,25
12,4,108
12,9,22
12,52,53
12,31,55
12,56,96
